sequence,date,point_type,event,engine_equity,cash,positions_value,spx_close,spx_benchmark_equity,daily_return_pct,spx_day_return_pct,drawdown_pct,exposure_pct,open_positions_count,pending_orders_count,market_gate_state,spx_regime,settlement_delta_from_last_regular_eod
1118,2025-11-20,REGULAR_EOD,EOD_MARK_TO_MARKET,241113.16,23661.49,217451.67,6538.76,153945.90624,-3.9018,-1.5567,12.8832,90.19,3,1,RISK_OFF,UPTREND,
1119,2025-11-21,REGULAR_EOD,EOD_MARK_TO_MARKET,243302.13,68467.89,174834.24,6602.99,155458.111239,0.9079,0.9823,12.0923,71.86,2,1,RISK_OFF,UPTREND,
1120,2025-11-24,REGULAR_EOD,EOD_MARK_TO_MARKET,243647.9,68467.89,175180.02,6705.12,157862.618424,0.1421,1.5467,11.9673,71.9,2,0,RISK_OFF,UPTREND,
1121,2025-11-25,REGULAR_EOD,EOD_MARK_TO_MARKET,253503.99,68467.89,185036.1,6765.88,159293.127154,4.0452,0.9062,8.4062,72.99,2,0,ALLOW,UPTREND,
1122,2025-11-26,REGULAR_EOD,EOD_MARK_TO_MARKET,254074.95,68467.89,185607.06,6812.61,160393.31927,0.2252,0.6907,8.1999,73.05,2,0,ALLOW,UPTREND,
1123,2025-11-28,REGULAR_EOD,EOD_MARK_TO_MARKET,252618.37,684.68,251933.69,6849.09,161252.189554,-0.5733,0.5355,8.7262,99.73,3,1,ALLOW,UPTREND,
1124,2025-12-01,REGULAR_EOD,EOD_MARK_TO_MARKET,247319.56,684.68,246634.88,6812.63,160393.790142,-2.0976,-0.5323,10.6407,99.72,3,0,ALLOW,UPTREND,
1125,2025-12-02,REGULAR_EOD,EOD_MARK_TO_MARKET,245411.82,684.68,244727.14,6829.37,160787.909894,-0.7714,0.2457,11.33,99.72,3,0,ALLOW,UPTREND,
1126,2025-12-03,REGULAR_EOD,EOD_MARK_TO_MARKET,241025.39,47819.55,193205.84,6849.72,161267.022018,-1.7874,0.298,12.9149,80.16,3,1,ALLOW,UPTREND,
1127,2025-12-04,REGULAR_EOD,EOD_MARK_TO_MARKET,235224.74,47819.55,187405.18,6857.12,161441.244609,-2.4067,0.108,15.0107,79.67,3,1,ALLOW,UPTREND,
1128,2025-12-05,REGULAR_EOD,EOD_MARK_TO_MARKET,237881.89,88330.88,149551.01,6870.4,161753.903528,1.1296,0.1937,14.0506,62.87,3,2,ALLOW,UPTREND,
1129,2025-12-08,REGULAR_EOD,EOD_MARK_TO_MARKET,236661.47,88330.88,148330.59,6846.51,161191.447083,-0.513,-0.3477,14.4916,62.68,3,1,ALLOW,UPTREND,
1130,2025-12-09,REGULAR_EOD,EOD_MARK_TO_MARKET,235724.45,88330.88,147393.57,6840.51,161050.185524,-0.3959,-0.0876,14.8302,62.53,3,1,ALLOW,UPTREND,
1131,2025-12-10,REGULAR_EOD,EOD_MARK_TO_MARKET,239210.64,99351.8,139858.84,6886.68,162137.193227,1.4789,0.675,13.5706,58.47,2,2,ALLOW,UPTREND,
1132,2025-12-11,REGULAR_EOD,EOD_MARK_TO_MARKET,240429.08,18810.56,221618.52,6901.0,162474.337483,0.5094,0.2079,13.1303,92.18,3,2,ALLOW,UPTREND,
1133,2025-12-12,REGULAR_EOD,EOD_MARK_TO_MARKET,238554.45,18810.56,219743.89,6827.41,160741.764451,-0.7797,-1.0664,13.8076,92.11,3,0,ALLOW,UPTREND,
1134,2025-12-15,REGULAR_EOD,EOD_MARK_TO_MARKET,240152.15,18810.56,221341.59,6816.51,160485.139284,0.6697,-0.1597,13.2304,92.17,3,0,ALLOW,UPTREND,
1135,2025-12-16,REGULAR_EOD,EOD_MARK_TO_MARKET,236601.15,18810.56,217790.59,6800.26,160102.555892,-1.4786,-0.2384,14.5134,92.05,3,0,ALLOW,UPTREND,
